regiao;estado;ano;taxa_aprovacao;nota_matematica;nota_lingua_portuguesa;nota_media_padronizada
Norte;AC;2007;86,6;234,00;225,57;4,326167
Norte;AC;2009;88,8;238,08;240,47;4,642833
Norte;AC;2011;90,5;240,89;236,83;4,629000
Norte;AC;2013;91,3;243,36;245,66;4,817333
Norte;AC;2015;90,3;247,21;247,82;4,917167
Norte;AC;2017;92,1;250,80;254,94;5,095833
Norte;AC;2019;92,6;256,86;256,14;5,216833
Nordeste;AL;2007;67,2;223,36;213,22;3,943000
Nordeste;AL;2009;64,6;224,77;222,88;4,127667
Nordeste;AL;2011;63,3;221,78;217,55;3,989000
Nordeste;AL;2013;66,5;223,89;221,53;4,090667
Nordeste;AL;2015;70,2;233,46;230,82;4,404667
Nordeste;AL;2017;83,7;240,75;245,88;4,777333
Nordeste;AL;2019;89,9;247,10;247,47;4,909500
Norte;AM;2007;76,1;234,42;228,36;4,379833
Norte;AM;2009;76,7;237,27;241,19;4,641167
Norte;AM;2011;85,6;237,63;235,58;4,553667
Norte;AM;2013;85,6;237,32;239,11;4,607167
Norte;AM;2015;88,9;245,75;248,52;4,904667
Norte;AM;2017;90,9;247,52;256,82;5,072500
Norte;AM;2019;91,0;249,58;251,47;5,017667
Norte;AP;2007;82,6;225,75;219,77;4,092167
Norte;AP;2009;83,3;226,69;229,72;4,273667
Norte;AP;2011;82,2;226,85;226,77;4,227167
Norte;AP;2013;82,2;223,47;225,80;4,154667
Norte;AP;2015;80,0;230,88;229,00;4,331500
Norte;AP;2017;80,9;227,41;234,30;4,362000
Norte;AP;2019;83,5;233,03;238,16;4,520000
Nordeste;BA;2007;65,1;228,55;219,85;4,140000
Nordeste;BA;2009;65,0;228,05;225,75;4,230000
Nordeste;BA;2011;67,0;231,19;226,41;4,293333
Nordeste;BA;2013;72,2;229,50;226,94;4,274333
Nordeste;BA;2015;68,8;240,16;236,05;4,603833
Nordeste;BA;2017;70,5;236,44;239,05;4,591500
Nordeste;BA;2019;78,5;241,16;241,33;4,708167
Nordeste;CE;2007;81,3;228,82;220,69;4,158667
Nordeste;CE;2009;82,2;233,02;235,72;4,479167
Nordeste;CE;2011;81,1;240,13;238,39;4,642333
Nordeste;CE;2013;83,5;242,08;242,16;4,737333
Nordeste;CE;2015;84,2;249,33;251,64;5,016333
Nordeste;CE;2017;87,7;249,41;258,10;5,125333
Nordeste;CE;2019;91,0;253,63;258,11;5,195833
Centro-Oeste;DF;2007;72,3;250,69;236,86;4,792833
Centro-Oeste;DF;2009;80,2;249,36;242,86;4,870500
Centro-Oeste;DF;2011;78,7;251,71;243,16;4,914667
Centro-Oeste;DF;2013;79,4;247,30;242,44;4,829000
Centro-Oeste;DF;2015;78,3;254,03;250,44;5,074667
